NAME,ETHNICITY,SEX,LOC,ETHNICITY_RECAT,ETHNICITY_RECAT_V2,ETHNICITY_RECAT_V3,ETHNICITY_RECAT_V4
Cora Wilson,en,Male,"G, Maisonneuve, Quebec, Canada",en,en,en,en
Thomas H Symons,ch,Female,"B, Montréal (city/cité), Quebec, Canada",ch,ch,ch,ch
Romain Drouin,rus,Female,"F, Lotbinière, Quebec, Canada",rus,rus,rus,rus
Ethol E Wickens,fr,Female,"E, Winnipeg (city/cité), Manitoba, Canada",fr,fr,fr,fr
Georg L Veit,en,Male,"B, Ontario (west/ouest), Ontario, Canada",en,en,en,en
Mggie Gordon,rus,Male,"C, Kings, Prince Edward Island, Canada",rus,rus,rus,rus
Emelie Champane,others,Male,"E, Marquette, Manitoba, Canada",others,others,others,others
Aoarina M Evans,en,Male,"H, Maskinongé, Quebec, Canada",en,en,en,en
Charles W Northrop,en,Female,"J, Bagot, Quebec, Canada",en,en,en,en
Robert Shaw,en,Female,"B, Montréal (city/cité), Quebec, Canada",en,en,en,en
Howard Mccaw,rus,Male,"F, Perth (south/sud), Ontario, Canada",rus,rus,rus,rus
John Duff,sc,Male,,sc,sc,sc,sc
Ernest Clark,ch,Male,"C, Dundas, Ontario, Canada",ch,ch,ch,ch
D. Davis,ir,Female,"E2, Saskatchewan, The Territories, Canada",ir,ir,ir,ir
Norman Hollinger,en,Male,"U, Digby, Nova Scotia, Canada",en,en,en,en
Maggie Cameron,rus,Male,"L, Bonaventure, Quebec, Canada",rus,rus,rus,rus
Wm Partridge,sc,Male,"O, Dorchester, Quebec, Canada",sc,sc,sc,sc
Theàus Latour,fr,Female,"G, Montmagny, Quebec, Canada",fr,fr,fr,fr
Eunice Mills,en,,"A, Durham (east/est), Ontario, Canada",en,en,en,en
May Dun,sc,Male,"A, Middlesex (south/sud), Ontario, Canada",sc,sc,sc,sc
David Mccarty,fr,Male,"F, Lambton (west/ouest), Ontario, Canada",fr,fr,fr,fr
Margaret Cadotte,fr,Female,"B, Bellechasse, Quebec, Canada",fr,fr,fr,fr
Newton Lawson,ir,Female,"E4, Alberta, The Territories, Canada",ir,ir,ir,ir
Elisabeth Danis,ch,Female,"C, Halton, Ontario, Canada",ch,ch,ch,ch
Jennie Trahalm,ch,Female,"F, Hamilton (city/cité), Ontario, Canada",ch,ch,ch,ch
Henry W Doran,others,Male,"D, Middlesex (south/sud), Ontario, Canada",others,others,others,others
Sarah Boudro,sc,Female,"E, Leeds (south/sud), Ontario, Canada",sc,sc,sc,sc
Caroline E Corser,en,Male,"H, Simcoe (south/sud), Ontario, Canada",en,en,en,en
Oswald G Fairbairn,sc,Male,"E, York, New Brunswick, Canada",sc,sc,sc,sc
Albert E. Press,ab,Male,"G, Ottawa (city/cité), Ontario, Canada",ab,inuit,inuit,inuit
Marianna Blank,sc,Male,"E, Grey (south/sud), Ontario, Canada",sc,sc,sc,sc
Sarah S. Janes,ir,Male,"C, Brandon, Manitoba, Canada",ir,ir,ir,ir
Ida Mcginty,ch,Male,"B, Grey (east/est), Ontario, Canada",ch,ch,ch,ch
Jean Baptiste Danis,sc,Female,"M, Prince (west/ouest), Prince Edward Island, Canada",sc,sc,sc,sc
J Wm Marsh,ir,Female,"J, Queen's (east/est), Prince Edward Island, Canada",ir,ir,ir,ir
Bessie Babb,rus,Male,"C, Wellington (centre), Ontario, Canada",rus,rus,rus,rus
George Mercier,sc,Male,"H, Macdonald, Manitoba, Canada",sc,sc,sc,sc
Alfred Arguin,ja,Female,"G, Welland, Ontario, Canada",ja,ja,ja,ja
Thomas Gardner,ab,Unknown,"I, Sunbury & Queens, New Brunswick, Canada",ab,inuit,inuit,inuit
Weroinard Fortin,sc,Female,"C, Québec (city/cité) (east/est), Quebec, Canada",sc,sc,sc,sc
Thelma Kellett,others,Female,"P, Saint-jean & Iberville, Quebec, Canada",others,others,others,others
Martin J Conroy,others,Female,"P, Laval, Quebec, Canada",others,others,others,others
Erney Bretton,sc,Female,"V, Pontiac, Quebec, Canada",sc,sc,sc,sc
"'facts', [error link] https://familysearch.org/pal:/MM9.1.1/KHRZ-929",fr,Female,"D, Rouville, Quebec, Canada",fr,fr,fr,fr
Mary M Dondon,ja,Female,"C, Provencher, Manitoba, Canada",ja,ja,ja,ja
James Mitchell,ch,Male,"B, Prince Edward, Ontario, Canada",ch,ch,ch,ch
Cha&#39;s Ormiston,others,Female,"G, Brandon, Manitoba, Canada",others,others,others,others
J E Hughson,rus,Female,"F, Lanark (north/nord), Ontario, Canada",rus,rus,rus,rus
Elizabeth Turner,others,Male,"A, Prince (east/est), Prince Edward Island, Canada",others,others,others,others
Mary Bannen,others,Female,"D, Lanark (south/sud), Ontario, Canada",others,others,others,others
Lardinine Ferlan,others,Female,"H, Queen's (east/est), Prince Edward Island, Canada",others,others,others,others
Bertha Cairo,ab,Female,"A, Québec (city/cité) (east/est), Quebec, Canada",ab,fn,fn,fn
John Hiles,rus,Female,"J, York (east/est), Ontario, Canada",rus,rus,rus,rus
John W Carpenter,ir,Male,"G, Antigonish, Nova Scotia, Canada",ir,ir,ir,ir
Agnes Mole,others,Female,"C, Bruce (west/ouest), Ontario, Canada",others,others,others,others
Andrew Ruddick,ir,Male,"B, Essex (north/nord), Ontario, Canada",ir,ir,ir,ir
Ak-gadim-zimshian,ch,Male,"C, Toronto (west/ouest) (city/cité), Ontario, Canada",ch,ch,ch,ch
Albina Theriault,rus,Female,"H, Saint John (city/cité), New Brunswick, Canada",rus,rus,rus,rus
Ferdinand Robitaille,sc,Female,"A, Lisgar, Manitoba, Canada",sc,sc,sc,sc
Julis Ross,ir,Female,"B, Gloucester, New Brunswick, Canada",ir,ir,ir,ir
Minnie Graf,sc,Female,"C, Québec (city/cité) (east/est), Quebec, Canada",sc,sc,sc,sc
Josephine Dudies,fr,Male,"K, Renfrew (south/sud), Ontario, Canada",fr,fr,fr,fr
George Cochrane,ab,Male,"H, Norfolk (south/sud), Ontario, Canada",ab,fn,fn,fn
Marget Murrey,ja,Male,"D, Peterborough (west/ouest), Ontario, Canada",ja,ja,ja,ja
Laure Mersier,fr,Female,"Q(1), Halifax (county/comté), Nova Scotia, Canada",fr,fr,fr,fr
Ida Ormen,it,Male,"A, Huron (west/ouest), Ontario, Canada",it,it,it,it
H.wesley Firlotte,it,Male,"Q, Labelle, Quebec, Canada",it,it,it,it
Athala Demers,en,Male,"L, Shefford, Quebec, Canada",en,en,en,en
Maggie J Beattie,ab,Male,"L, Chambly & Verchères, Quebec, Canada",ab,,,
James A Anderson,ab,Female,"B(1), Inverness, Nova Scotia, Canada",ab,fn,fn,fn
James Lane,ir,Female,"B, Charlevoix, Quebec, Canada",ir,ir,ir,ir
Arthur Duchesne,ir,Female,"I, Yale & Cariboo, British Columbia, Canada",ir,ir,ir,ir
Albrvia Viéns,en,Male,"H, Simcoe (north/nord), Ontario, Canada",en,en,en,en
Nativa Routhier,ir,Male,"K, Portneuf, Quebec, Canada",ir,ir,ir,ir
James R Thompson,fr,Male,"D(1), Beauce, Quebec, Canada",fr,fr,fr,fr
William Delarge,ab,Male,"G, Perth (north/nord), Ontario, Canada",ab,inuit,inuit,inuit
Eliza White,en,Male,"B, Macdonald, Manitoba, Canada",en,en,en,en
Malinda Hilchey,ja,Male,"F, Unorganized Territories/territoires Non-organisés, The Territories, Canada",ja,ja,ja,ja
John Marsden,others,Female,"G, Gloucester, New Brunswick, Canada",others,others,others,others
Caroline Gough,ir,Female,"J, Lotbinière, Quebec, Canada",ir,ir,ir,ir
Enoch Dando,fr,Female,"J, Compton, Quebec, Canada",fr,fr,fr,fr
John Cole,ab,Male,"P, Dorchester, Quebec, Canada",ab,fn,fn,fn
Sarah E Reavely,sc,Male,"F, Maisonneuve, Quebec, Canada",sc,sc,sc,sc
Emily Giberson,sc,Male,"R, Nicolet, Quebec, Canada",sc,sc,sc,sc
Bernardette Abron,it,Male,"G, Ottawa (city/cité), Ontario, Canada",it,it,it,it
John Masten,others,Female,"C, Hochelaga, Quebec, Canada",others,others,others,others
Eliza Levingston,sc,Male,"F, Nicolet, Quebec, Canada",sc,sc,sc,sc
Sarah A Bedford,sc,Male,,sc,sc,sc,sc
Clara F Delong,ch,Male,"A, Montréal (city/cité), Quebec, Canada",ch,ch,ch,ch
Effa Alcombrack,sc,Male,"A, Montréal (city/cité), Quebec, Canada",sc,sc,sc,sc
Elmire Bonneau,it,Male,"A, Renfrew (north/nord), Ontario, Canada",it,it,it,it
Joseph F Gagner,ja,Female,"A, Winnipeg (city/cité), Manitoba, Canada",ja,ja,ja,ja
Jessie Mcdonald,others,Female,"B, Hastings (east/est), Ontario, Canada",others,others,others,others
George Reid,it,Female,"C, Durham (east/est), Ontario, Canada",it,it,it,it
John Oakley,fr,Male,"A, Jacques-cartier, Quebec, Canada",fr,fr,fr,fr
Byron C Sisler,ab,Female,"K, L'assomption, Quebec, Canada",ab,,,
William,ab,Male,"G, York (west/ouest), Ontario, Canada",ab,metis,metis,metis
Melvina Dery,ir,Male,"E, Perth (north/nord), Ontario, Canada",ir,ir,ir,ir
Pierre Pigeon,fr,Male,"K, Berthier, Quebec, Canada",fr,fr,fr,fr
Joseph Gagnon,ab,Male,"J, Peterborough (east/est), Ontario, Canada",ab,inuit,inuit,inuit
Joseph Bombardier,fr,Female,"U, Yarmouth, Nova Scotia, Canada",fr,fr,fr,fr
Sophonie Beauchemin,it,Female,"F, Saint John (city/cité), New Brunswick, Canada",it,it,it,it
George Couture,fr,Female,"N, Victoria (north/nord), Ontario, Canada",fr,fr,fr,fr
Ethel M Needham,ir,Male,"G, Hamilton (city/cité), Ontario, Canada",ir,ir,ir,ir
Maud Pogue,en,Male,"C, L'assomption, Quebec, Canada",en,en,en,en
Thomas Odell,ab,Female,"E, Grey (south/sud), Ontario, Canada",ab,metis,metis,metis
Mary Rickey,sc,Male,"P, Rimouski, Quebec, Canada",sc,sc,sc,sc
John Scott,it,Male,"D, Russell, Ontario, Canada",it,it,it,it
Josiah Barkley,fr,Male,"J, Maskinongé, Quebec, Canada",fr,fr,fr,fr
Herrie Marleau,ch,Female,"G, Hastings (north/nord), Ontario, Canada",ch,ch,ch,ch
Katherin Prime,rus,Male,"H, Beauharnois, Quebec, Canada",rus,rus,rus,rus
Dorcas V Jameison,ab,Male,"B, Hochelaga, Quebec, Canada",ab,fn,fn,fn
John H Burpee,it,Female,"N, Hants, Nova Scotia, Canada",it,it,it,it
James Barry,sc,Female,"E, Sherbrooke, Quebec, Canada",sc,sc,sc,sc
Mary Thomas,ab,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",ab,fn,fn,fn
Philomène Galarneau,others,Male,"F, Ontario (south/sud), Ontario, Canada",others,others,others,others
Honria Aubin,ja,Male,"C, Maisonneuve, Quebec, Canada",ja,ja,ja,ja
Pearl Warren,others,Male,"Q, Gaspé, Quebec, Canada",others,others,others,others
John J Morton,ja,Male,"J, Yamaska, Quebec, Canada",ja,ja,ja,ja
Harry Montgomery,ir,Male,"K, Brandon, Manitoba, Canada",ir,ir,ir,ir
Ernest Greer,ir,Male,"B, Montréal (city/cité), Quebec, Canada",ir,ir,ir,ir
Miné Gautier,fr,Male,"L, Beauce, Quebec, Canada",fr,fr,fr,fr
Napoleon Trepannier,others,Male,"Q2, Assiniboia (west/ouest), The Territories, Canada",others,others,others,others
Clifford Hortair,ab,Male,"C, Maisonneuve, Quebec, Canada",ab,,,
George Mccormick,ab,Female,"C, Westmorland, New Brunswick, Canada",ab,fn,fn,fn
S A Graul,ab,Male,"D, Peel, Ontario, Canada",ab,inuit,inuit,inuit
J Anne Bourget,ja,Male,"E, Hamilton (city/cité), Ontario, Canada",ja,ja,ja,ja
Ralph Grieves,ja,Female,"H, L'islet, Quebec, Canada",ja,ja,ja,ja
Jessie Mcdiermid,en,Female,"L, Lévis, Quebec, Canada",en,en,en,en
John R Maclachlan,fr,Female,"B, Toronto (west/ouest) (city/cité), Ontario, Canada",fr,fr,fr,fr
Albertina Paquet,ab,Male,"B, Bonaventure, Quebec, Canada",ab,,,
Marie Lepage,ab,Female,"H, Shelburne & Queens (shelburne), Nova Scotia, Canada",ab,metis,metis,metis
Joseph Laidler,rus,Male,"H, Simcoe (south/sud), Ontario, Canada",rus,rus,rus,rus
Fredrick G Trask,it,Female,"C, Waterloo (south/sud), Ontario, Canada",it,it,it,it
Laura Campbell,en,Male,"B, New Westminster, British Columbia, Canada",en,en,en,en
George A Felker,it,Male,"C(2), Chicoutimi & Saguenay, Quebec, Canada",it,it,it,it
James Mero,ja,Female,"A, Montréal (city/cité), Quebec, Canada",ja,ja,ja,ja
Helen M Eddie,en,Male,"V, Gaspé, Quebec, Canada",en,en,en,en
William Rogers,ir,Female,"B, Simcoe (south/sud), Ontario, Canada",ir,ir,ir,ir
Jula A. Dawson,sc,Male,"N, Macdonald, Manitoba, Canada",sc,sc,sc,sc
Peel C D Steven,sc,Male,"G, Champlain, Quebec, Canada",sc,sc,sc,sc
Paul V Edzagero,rus,Female,"K, Missisquoi, Quebec, Canada",rus,rus,rus,rus
Mary J Derry,ab,Male,"B, Durham (west/ouest), Ontario, Canada",ab,inuit,inuit,inuit
Fannie Porteous,it,Female,"C, Victoria (south/sud), Ontario, Canada",it,it,it,it
Dezire Gagne,sc,Female,"H, Lisgar, Manitoba, Canada",sc,sc,sc,sc
Sarah Dockrill,ab,Female,"C, Vancouver, British Columbia, Canada",ab,inuit,inuit,inuit
Lillian Speight,it,Female,"G, York (east/est), Ontario, Canada",it,it,it,it
Victoire Doiron,fr,Male,"C, Cape Breton, Nova Scotia, Canada",fr,fr,fr,fr
Hattie Marble,ja,Male,"C, Lambton (west/ouest), Ontario, Canada",ja,ja,ja,ja
Thomas L Nickle,ab,Male,"E, Wellington (south/sud), Ontario, Canada",ab,metis,metis,metis
Emma S Wright,it,Male,"B, Hamilton (city/cité), Ontario, Canada",it,it,it,it
Kate Pilkenton,en,Male,"F, Oxford (north/nord), Ontario, Canada",en,en,en,en
William Burgess,others,Female,"B, Peel, Ontario, Canada",others,others,others,others
David A. Stirling,rus,Female,"A, Montréal (city/cité), Quebec, Canada",rus,rus,rus,rus
J Margret Parks,en,Female,"G, Middlesex (north/nord), Ontario, Canada",en,en,en,en
Bert Hardman,en,Male,"C, Wellington (south/sud), Ontario, Canada",en,en,en,en
S. J. Moore,others,Male,"D, Victoria, British Columbia, Canada",others,others,others,others
Clifferd Kerkwood Tate,it,Female,"B, Québec (city/cité) (east/est), Quebec, Canada",it,it,it,it
Francis Cardinal,ja,Male,"C5, Alberta, The Territories, Canada",ja,ja,ja,ja
Bessie Hughes,it,Male,"E, York (west/ouest), Ontario, Canada",it,it,it,it
Nellie Matthews,rus,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",rus,rus,rus,rus
George E. Denstedt,it,Female,"F, Saint John (city/cité), New Brunswick, Canada",it,it,it,it
Frank Freeze,ch,Female,"C, Bonaventure, Quebec, Canada",ch,ch,ch,ch
Georeana Beson,ir,Male,"D, Essex (south/sud), Ontario, Canada",ir,ir,ir,ir
Eugene Champoux,en,Male,"D, Québec (city/cité) (centre), Quebec, Canada",en,en,en,en
Lesley Thompson,fr,Male,"B, Cornwall & Stormont, Ontario, Canada",fr,fr,fr,fr
Irene Sylvester,it,Female,"E, Winnipeg (city/cité), Manitoba, Canada",it,it,it,it
Edward Zinkhan,ch,Female,"L, Prince (east/est), Prince Edward Island, Canada",ch,ch,ch,ch
Stauley Hill,rus,Male,"E, Simcoe (south/sud), Ontario, Canada",rus,rus,rus,rus
Mary Cooper,ja,Male,"A, Westmorland, New Brunswick, Canada",ja,ja,ja,ja
James Mckenna,ja,Male,"F2, Assiniboia (west/ouest), The Territories, Canada",ja,ja,ja,ja
Lila Adams,sc,Female,"B, Macdonald, Manitoba, Canada",sc,sc,sc,sc
Jessie Mcdonald,rus,Female,"I, York (west/ouest), Ontario, Canada",rus,rus,rus,rus
Alvine Lemieux,ir,Female,"F, Chambly & Verchères, Quebec, Canada",ir,ir,ir,ir
Emily M Clinaersmith,others,Female,"M, Colchester, Nova Scotia, Canada",others,others,others,others
Herve Lapalme,ir,Male,"C, Hochelaga, Quebec, Canada",ir,ir,ir,ir
Annie Mcginnis,ch,Male,"G, Renfrew (north/nord), Ontario, Canada",ch,ch,ch,ch
William Mckenzie,ch,Female,"A, Restigouche, New Brunswick, Canada",ch,ch,ch,ch
Lauran Beaucheme,sc,Male,"L, Wentworth (south/sud), Ontario, Canada",sc,sc,sc,sc
Frankie Cox,rus,Male,"A, Montréal (city/cité), Quebec, Canada",rus,rus,rus,rus
Leo Doré,ab,Male,"C, Inverness, Nova Scotia, Canada",ab,inuit,inuit,inuit
Exilia Gauvin,ch,Male,"J, Montcalm, Quebec, Canada",ch,ch,ch,ch
Lizzie Macouabè,it,Male,"F, Victoria (south/sud), Ontario, Canada",it,it,it,it
Eldridge Doggett,ch,Female,"G, Trois-rivières & Saint-maurice, Quebec, Canada",ch,ch,ch,ch
Tancrède Deschamps,sc,Female,"D, Middlesex (south/sud), Ontario, Canada",sc,sc,sc,sc
Alma Merrithew,others,Female,"N, Simcoe (east/est), Ontario, Canada",others,others,others,others
Evangeline Bouret,fr,Female,"E, Ottawa (city/cité), Ontario, Canada",fr,fr,fr,fr
Moriah A Mckay,sc,Male,"F, Glengarry, Ontario, Canada",sc,sc,sc,sc
Angela Cierardat,rus,Male,"C, Middlesex (east/est), Ontario, Canada",rus,rus,rus,rus
Florence Luckwell,others,Male,"D, Huron (east/est), Ontario, Canada",others,others,others,others
Rose S Beard,fr,Male,"J, Bonaventure, Quebec, Canada",fr,fr,fr,fr
John Ryan,sc,Female,"G, Grey (east/est), Ontario, Canada",sc,sc,sc,sc
Charley A Wilson,it,Female,"D1, Halifax (county/comté), Nova Scotia, Canada",it,it,it,it
Hector Foley,sc,Female,"S, Nicolet, Quebec, Canada",sc,sc,sc,sc
Orlands Davis,rus,Female,"J1, Rimouski, Quebec, Canada",rus,rus,rus,rus
Burnard P Rhody,ch,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",ch,ch,ch,ch
Francais Alard,fr,Male,"M, Trois-rivières & Saint-maurice, Quebec, Canada",fr,fr,fr,fr
Brenhilda Mcbain,others,Female,"D, Québec (city/cité) (centre), Quebec, Canada",others,others,others,others
Aimé Mathieu,sc,Male,"C, Grey (north/nord), Ontario, Canada",sc,sc,sc,sc
Léo Choiniere,fr,Male,"A, Queen's (west/ouest), Prince Edward Island, Canada",fr,fr,fr,fr
Adrien Leveille,sc,Male,"C, Waterloo (south/sud), Ontario, Canada",sc,sc,sc,sc
Elisabeth A Dawson,fr,Male,"G, Lambton (east/est), Ontario, Canada",fr,fr,fr,fr
Francoise Longard,ab,Female,"K, Lincoln & Niagara, Ontario, Canada",ab,fn,fn,fn
Robert Morash,rus,Female,"R, Portneuf, Quebec, Canada",rus,rus,rus,rus
Mary E Smith,sc,Female,"H, Saint John (city/cité), New Brunswick, Canada",sc,sc,sc,sc
Jos Ibbottson,ja,Male,"D, Victoria (south/sud), Ontario, Canada",ja,ja,ja,ja
Mary Wickerson,fr,Female,"P, Colchester, Nova Scotia, Canada",fr,fr,fr,fr
Jams Carrall,ir,Female,"C, Brome, Quebec, Canada",ir,ir,ir,ir
Francais Convery,en,Male,"E, Québec (city/cité) (centre), Quebec, Canada",en,en,en,en
Ruby Milligan,sc,Male,"A, Queen's (west/ouest), Prince Edward Island, Canada",sc,sc,sc,sc
Emma Parker,ir,Male,"K, Simcoe (east/est), Ontario, Canada",ir,ir,ir,ir
James R Stringer,ch,Male,"E, L'islet, Quebec, Canada",ch,ch,ch,ch
Henry Saint,ir,Male,"E, Elgin (west/ouest), Ontario, Canada",ir,ir,ir,ir
John Cameron,sc,Male,"E, Elgin (east/est), Ontario, Canada",sc,sc,sc,sc
Margret Harper,ch,Male,"F, York (east/est), Ontario, Canada",ch,ch,ch,ch
Arthur Brown,others,Female,"K, Richelieu, Quebec, Canada",others,others,others,others
Imlay Mckenzie,ir,Male,"V, Shelburne & Queens (queens), Nova Scotia, Canada",ir,ir,ir,ir
Arthur Plante,ir,Female,"B, Albert, New Brunswick, Canada",ir,ir,ir,ir
Eva Mathease,fr,Female,"H, Soulanges, Quebec, Canada",fr,fr,fr,fr
Maggy Mcdonald,it,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",it,it,it,it
Horace Griffin,en,Male,"B, Northumberland (east/est), Ontario, Canada",en,en,en,en
Sarah E Hugins,ja,Male,"V, Inverness, Nova Scotia, Canada",ja,ja,ja,ja
Edwin E Hay,sc,Female,"M, Joliette, Quebec, Canada",sc,sc,sc,sc
William Moore,ir,Female,"B, Oxford (north/nord), Ontario, Canada",ir,ir,ir,ir
Grace M Alderson,en,Female,"J, Compton, Quebec, Canada",en,en,en,en
Elie Bédard,ab,Female,"K, Wellington (north/nord), Ontario, Canada",ab,,,
Napoleon Covineau,fr,Female,"F, York (east/est), Ontario, Canada",fr,fr,fr,fr
Abbert Gervais,others,Female,"A, Peel, Ontario, Canada",others,others,others,others
Clarenda Ellis,sc,Male,"D, Perth (north/nord), Ontario, Canada",sc,sc,sc,sc
Albert Salter,ja,Female,"J, Richmond, Nova Scotia, Canada",ja,ja,ja,ja
Mowat Beatie,rus,Male,"C, Glengarry, Ontario, Canada",rus,rus,rus,rus
Thomas F Ley,sc,Male,"B, Carleton, Ontario, Canada",sc,sc,sc,sc
Fueinda Morinville,sc,Female,"P, Marquette, Manitoba, Canada",sc,sc,sc,sc
Pierre Foucault,it,Female,"D, Hamilton (city/cité), Ontario, Canada",it,it,it,it
Lena Blake,rus,Female,"J, York (west/ouest), Ontario, Canada",rus,rus,rus,rus
Sarahann Rutherford,ch,Female,"A, Montréal (city/cité), Quebec, Canada",ch,ch,ch,ch
Jirin Verville,en,Female,"E, Bruce (north/nord), Ontario, Canada",en,en,en,en
Albert Gumbert,it,Male,"A, Montréal (city/cité), Quebec, Canada",it,it,it,it
Edward Macmillan,rus,Male,"H, Yale & Cariboo, British Columbia, Canada",rus,rus,rus,rus
Parephine Saint,others,Male,"A, Cardwell, Ontario, Canada",others,others,others,others
Charles Brodine,ir,Female,"H, Drummond & Arthabaska, Quebec, Canada",ir,ir,ir,ir
Raoul Lanbert,sc,Female,"V, Cape Breton, Nova Scotia, Canada",sc,sc,sc,sc
Thomas Bowler,it,Male,"L, Colchester, Nova Scotia, Canada",it,it,it,it
Peter Waper,ab,Female,"H, Trois-rivières & Saint-maurice, Quebec, Canada",ab,metis,metis,metis
Antonia Brunet,ab,Female,"K, Dorchester, Quebec, Canada",ab,inuit,inuit,inuit
Flora Charron,others,Male,"G, Perth (south/sud), Ontario, Canada",others,others,others,others
Fred Melanson,sc,Male,"E, Macdonald, Manitoba, Canada",sc,sc,sc,sc
Charles Robinson,fr,Male,"E3, Algoma, Ontario, Canada",fr,fr,fr,fr
G Helle Daronld,en,Female,"H, Welland, Ontario, Canada",en,en,en,en
Mary Cranly,ir,Male,"K, Carleton, New Brunswick, Canada",ir,ir,ir,ir
Catharine Moore,ja,Female,"F, Huron (east/est), Ontario, Canada",ja,ja,ja,ja
John Buley,ch,Male,"E, Gloucester, New Brunswick, Canada",ch,ch,ch,ch
John Sutherland,ja,Male,"N, Queen's (east/est), Prince Edward Island, Canada",ja,ja,ja,ja
Sophie Laurin,it,Female,"A, Hastings (north/nord), Ontario, Canada",it,it,it,it
Margaret Buhannan,ab,Male,"A, Rimouski, Quebec, Canada",ab,,,
Lila Sargent,ja,Male,"A, Perth (north/nord), Ontario, Canada",ja,ja,ja,ja
Davile Lafontaine,ir,Female,"R, Cumberland, Nova Scotia, Canada",ir,ir,ir,ir
Adelle Bawdin,ir,Female,"D, Champlain, Quebec, Canada",ir,ir,ir,ir
John J Groves,ab,Female,"H, Lennox, Ontario, Canada",ab,,,
Isabelle Atkinson,rus,Female,"X2, Assiniboia (west/ouest), The Territories, Canada",rus,rus,rus,rus
Cathrine Rahn,others,Male,"O, Champlain, Quebec, Canada",others,others,others,others
Léoni Bellefleur,rus,Female,"D, Joliette, Quebec, Canada",rus,rus,rus,rus
Mcarchy R Donald,en,Female,"J, L'islet, Quebec, Canada",en,en,en,en
Elen Desouch,ir,Male,"N, Saint John (county/comté), New Brunswick, Canada",ir,ir,ir,ir
Gilbert Lesberand,others,Male,"I, Sunbury & Queens, New Brunswick, Canada",others,others,others,others
Sarah J Davis,others,Male,"K, Macdonald, Manitoba, Canada",others,others,others,others
Marie Emelda Binette,en,Male,"Q3, Alberta, The Territories, Canada",en,en,en,en
Harriett Sinclair,ir,Male,"B, Middlesex (north/nord), Ontario, Canada",ir,ir,ir,ir
Alala Tasson,sc,Male,"E, Simcoe (south/sud), Ontario, Canada",sc,sc,sc,sc
Ada Hall,sc,Female,"E, Restigouche, New Brunswick, Canada",sc,sc,sc,sc
Harret Elson,en,Female,"M, Hastings (north/nord), Ontario, Canada",en,en,en,en
Fred Cummin,rus,Female,"N, Kamouraska, Quebec, Canada",rus,rus,rus,rus
James White,sc,Female,"A, Unorganized Territories/territoires Non-organisés, The Territories, Canada",sc,sc,sc,sc
Mary Bell Camero,sc,Male,"D, Québec (city/cité) (east/est), Quebec, Canada",sc,sc,sc,sc
Olivar M Whittey,fr,Male,"H, Kent, New Brunswick, Canada",fr,fr,fr,fr
John Gillis,others,Female,"I(1), Chicoutimi & Saguenay, Quebec, Canada",others,others,others,others
C. Eileen Moore,ch,Male,"J, Champlain, Quebec, Canada",ch,ch,ch,ch
Frank Tucker,ab,Male,"F, Ottawa (city/cité), Ontario, Canada",ab,metis,metis,metis
Maggie T Haldan,ir,Male,"N, Haldimand & Monck, Ontario, Canada",ir,ir,ir,ir
Fredia Smith,rus,Male,"G, Selkirk, Manitoba, Canada",rus,rus,rus,rus
Roy Whitwell,sc,Male,"S, Champlain, Quebec, Canada",sc,sc,sc,sc
Minnie Holmes,ir,Female,"K, Missisquoi, Quebec, Canada",ir,ir,ir,ir
Murdock Innis,ir,Male,"A, Oxford (south/sud), Ontario, Canada",ir,ir,ir,ir
Anna Sipple,sc,Female,"A, Hochelaga, Quebec, Canada",sc,sc,sc,sc
Alphonse Morin,others,Female,"I, Simcoe (east/est), Ontario, Canada",others,others,others,others
Harvey Reedock,ab,Female,"F, Maisonneuve, Quebec, Canada",ab,fn,fn,fn
John C Lanice,en,Female,"B, Montréal (city/cité), Quebec, Canada",en,en,en,en
Edwilwa Faubert,rus,Male,"F, Lambton (west/ouest), Ontario, Canada",rus,rus,rus,rus
James C Balfour,it,Female,"A, Shefford, Quebec, Canada",it,it,it,it
Sidney Lord,others,Male,"C, Cornwall & Stormont, Ontario, Canada",others,others,others,others
Samuel T Brookes,others,Female,"C, Cornwall & Stormont, Ontario, Canada",others,others,others,others
Merritt F Scott,sc,Male,"A, Bellechasse, Quebec, Canada",sc,sc,sc,sc
Adam Whitfield,ir,Male,"R, Marquette, Manitoba, Canada",ir,ir,ir,ir
Florida Cloutier,ja,Female,"L, Renfrew (north/nord), Ontario, Canada",ja,ja,ja,ja
Edward W Whittom,fr,Male,"D, Lévis, Quebec, Canada",fr,fr,fr,fr
Xartine Portelance,sc,Female,"E, Winnipeg (city/cité), Manitoba, Canada",sc,sc,sc,sc
Caterine Simard,fr,Male,"H, Westmorland, New Brunswick, Canada",fr,fr,fr,fr
Annie Gallinger,sc,Male,"D, Charlevoix, Quebec, Canada",sc,sc,sc,sc
John A. Ireland,it,Male,"B, Maisonneuve, Quebec, Canada",it,it,it,it
Maggie Hardcroft,it,Female,"A, Hochelaga, Quebec, Canada",it,it,it,it
Annie Kelley,sc,Female,"B, Montréal (city/cité), Quebec, Canada",sc,sc,sc,sc
Rosana Plourde,others,Female,"C, London (city/cité), Ontario, Canada",others,others,others,others
